"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jan 26 11:02:03 GMT 2024","Fri Jan 26 11:02:10 GMT 2024","6733","","Validação do menu da home","","","","Validar menu sobre nós (example #4)",""
"failed","Fri Jan 26 11:02:30 GMT 2024","Fri Jan 26 11:02:37 GMT 2024","7102","","Validação do menu da home","","","","Validar menu sobre nós (example #8)",""
"failed","Fri Jan 26 11:02:16 GMT 2024","Fri Jan 26 11:02:23 GMT 2024","7054","","Validação do menu da home","","","","Validar menu sobre nós (example #6)",""
"failed","Fri Jan 26 11:02:45 GMT 2024","Fri Jan 26 11:02:52 GMT 2024","7566","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"passed","Fri Jan 26 11:00:37 GMT 2024","Fri Jan 26 11:00:44 GMT 2024","6594","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"failed","Fri Jan 26 11:01:56 GMT 2024","Fri Jan 26 11:02:03 GMT 2024","6636","","Validação do menu da home","","","","Validar menu sobre nós (example #3)",""
"failed","Fri Jan 26 11:02:10 GMT 2024","Fri Jan 26 11:02:16 GMT 2024","6381","","Validação do menu da home","","","","Validar menu sobre nós (example #5)",""
"failed","Fri Jan 26 11:01:49 GMT 2024","Fri Jan 26 11:01:56 GMT 2024","6670","","Validação do menu da home","","","","Validar menu sobre nós (example #2)",""
"failed","Fri Jan 26 11:01:42 GMT 2024","Fri Jan 26 11:01:49 GMT 2024","7674","","Validação do menu da home","","","","Validar menu sobre nós (example #1)",""
"passed","Fri Jan 26 11:00:16 GMT 2024","Fri Jan 26 11:00:24 GMT 2024","8003","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"failed","Fri Jan 26 11:02:23 GMT 2024","Fri Jan 26 11:02:29 GMT 2024","6455","","Validação do menu da home","","","","Validar menu sobre nós (example #7)",""
"passed","Fri Jan 26 11:00:31 GMT 2024","Fri Jan 26 11:00:37 GMT 2024","6724","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"passed","Fri Jan 26 11:01:28 GMT 2024","Fri Jan 26 11:01:37 GMT 2024","8785","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"passed","Fri Jan 26 11:00:45 GMT 2024","Fri Jan 26 11:00:50 GMT 2024","4581","","Validação da home principal","","","","Deve validar o banner do portal",""
"failed","Fri Jan 26 11:02:37 GMT 2024","Fri Jan 26 11:02:43 GMT 2024","6271","","Validação do menu da home","","","","Validar menu sobre nós (example #9)",""
"passed","Fri Jan 26 11:00:50 GMT 2024","Fri Jan 26 11:00:53 GMT 2024","3117","","Validação da home principal","","","","Deve validar o banner axa seguradora oficial",""
"passed","Fri Jan 26 11:01:16 GMT 2024","Fri Jan 26 11:01:28 GMT 2024","11686","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"passed","Fri Jan 26 11:00:24 GMT 2024","Fri Jan 26 11:00:31 GMT 2024","6858","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"passed","Fri Jan 26 11:01:37 GMT 2024","Fri Jan 26 11:01:40 GMT 2024","3166","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
